victim_id,criticality
VIC20100001032706,0
VIC20120000441519,0
VIC20130000014119,0
VIC20140000614145,0
VIC20090002298916,0
VIC20130001116006,0
VIC20140001186412,0
VIC20120000876886,0
VIC20100000926720,0
VIC20090000802576,0
VIC20090002108099,0
VIC20130000415074,0
VIC20090001765182,0
VIC20100001564228,0
VIC20120001853819,0
VIC20120000404299,0
VIC20120000373648,0
VIC20130000210989,0
VIC20110000478281,0
VIC20140000538631,0
VIC20090001636577,0
VIC20140000124131,0
VIC20120001532546,0
VIC20090001972800,0
VIC20140000141107,0
VIC20090000242641,0
VIC20140001303937,0
VIC20140000041310,0
VIC20140000548855,0
VIC20120001938635,0
VIC20100000461700,0
VIC20110000305788,0
VIC20110001183953,0
VIC20090002069799,0
VIC20120000040621,0
VIC20090001593954,0
VIC20090001790662,0
VIC20100001350496,0
VIC20140000421373,0
VIC20100000231240,0
VIC20090001410387,0
VIC20120001982666,0
VIC20110000107857,0
VIC20100000128610,0
VIC20100001354286,0
VIC20130001484532,0
VIC20100000268946,0
VIC20100002442255,0
VIC20130001349125,0
VIC20120000137271,0
VIC20100000639368,0
VIC20090000982782,0
VIC20140000353337,0
VIC20100002021994,0
VIC20110000326793,0
VIC20120001990119,0
VIC20140000228473,0
VIC20110002307751,0
VIC20100002533280,0
VIC20100002084910,0
VIC20120000091733,0
VIC20100001913829,0
VIC20140000724049,0
VIC20120000282975,0
VIC20110002258983,0
VIC20130001217956,0
VIC20100001471572,0
VIC20110000160817,0
VIC20130000118772,0
VIC20130000276712,0
VIC20090001793860,0
VIC20110000007899,0
VIC20100002290737,0
VIC20120001224748,0
VIC20140001209290,0
VIC20090002373775,0
VIC20110002254489,0
VIC20100000837348,0
VIC20140001269000,0
VIC20130001270263,0
VIC20130000539853,0
VIC20140000547408,0
VIC20090000103829,0
VIC20100000600295,0
VIC20130001455053,0
VIC20140000211189,0
VIC20110001333418,0
VIC20130001288691,0
VIC20100002528392,0
VIC20110000960006,0
VIC20130000139686,0
VIC20140000069360,0
VIC20120001237753,0
VIC20110000990986,0
VIC20140000015282,0
VIC20130000197834,0
VIC20100001987608,0
VIC20110002313048,0
VIC20130001454379,0
VIC20090000808055,0
VIC20120000730349,0
VIC20140000473987,0
VIC20090001715513,0
VIC20100001896249,0
VIC20130000666050,0
VIC20090000715238,0
VIC20120002063195,0
VIC20100001086202,0
VIC20120000170713,0
VIC20090001868438,0
VIC20100000357988,0
VIC20130001364154,0
VIC20120002119984,0
VIC20120002120165,0
VIC20090000192931,0
VIC20090000808392,0
VIC20100000149414,0
VIC20110000583517,0
VIC20130001231159,0
VIC20130001257958,0
VIC20110000078225,0
VIC20100000317797,0
VIC20090000597065,0
VIC20110001503716,0
VIC20130001477974,0
VIC20120000501123,0
VIC20110000103915,0
VIC20100002240005,0
VIC20110001183432,0
VIC20120000374902,0
VIC20090000742149,0
VIC20140000065398,0
VIC20140000779693,0
